,count,mean,std,min,25%,50%,75%,max
case_positive_specimen_interval,9666.0,0.19542727084626527,2.139661626612074,-89.0,0.0,0.0,0.0,55.0
case_onset_interval,8283.0,-0.046601472896293614,2.2906952423855764,-69.0,0.0,0.0,0.0,76.0
